hospital_id,name,location
H0125,"Narayanan, Arya and Prasad Hospital",Mysore
H0126,"Guha, Loyal and Thakkar Hospital",Malda
H0127,Devi-Jain Hospital,Ramgarh
H0128,Oak and Sons Hospital,Kishanganj
H0129,Muni and Sons Hospital,Motihari
H0130,"Cherian, Sant and Gala Hospital",Gulbarga
H0131,"Ghosh, Madan and Ramanathan Hospital",Dewas
H0132,Sharma LLC Hospital,Nagercoil
H0133,"Thaker, Gala and Memon Hospital",Bhalswa Jahangir Pur
H0134,Basak Inc Hospital,Sambhal
H0135,Sastry-Swaminathan Hospital,Ahmednagar
H0136,Rattan-Panchal Hospital,Gorakhpur
H0137,Dora-Kurian Hospital,Vellore
H0138,Kalla LLC Hospital,Proddatur
H0139,"Pall, Kota and Walla Hospital",Mangalore
H0140,Khare-Wadhwa Hospital,Bongaigaon
H0141,Aurora and Sons Hospital,Vadodara
H0142,"Naik, Arora and Dhawan Hospital",Muzaffarpur
H0143,"Desai, Saini and Krish Hospital",Pune
H0144,"Chacko, Vasa and Thaman Hospital",Raebareli
H0145,Choudhury LLC Hospital,Sonipat
H0146,Kumar-Chana Hospital,Faridabad
H0147,"Barad, Mody and Shroff Hospital",Deoghar
H0148,"Kade, Chacko and Goyal Hospital",Panchkula
H0149,"Suresh, Thakkar and Mishra Hospital",Mau
H0150,"Dutta, Bala and Virk Hospital",Thane
H0151,Hayer-Zachariah Hospital,Hyderabad
H0152,Khurana Inc Hospital,Tirupati
H0153,Dora-Mangat Hospital,Davanagere
H0154,Aggarwal-Doshi Hospital,Surat
H0155,Dyal and Sons Hospital,Chennai
H0156,Parmer Ltd Hospital,Satara
H0157,Amble PLC Hospital,Warangal
H0158,Reddy Group Hospital,Kochi
H0159,"Mand, Guha and Bail Hospital",South Dumdum
H0160,Sant-Kala Hospital,Asansol
H0161,"Goyal, Chahal and Dhar Hospital",New Delhi
H0162,Yadav-Chaudhuri Hospital,Thoothukudi
H0163,"Sahni, Rai and Char Hospital",Tirupati
H0164,Mannan Ltd Hospital,Buxar
H0165,Karnik-Srivastava Hospital,Varanasi
H0166,Boase-Chaudhuri Hospital,Bhilwara
H0167,Cherian PLC Hospital,Hindupur
H0168,Radhakrishnan-Dey Hospital,Vasai-Virar
H0169,"Bumb, Chada and Bajwa Hospital",Bihar Sharif
H0170,"Hayer, Krishna and Pandey Hospital",Salem
H0171,Seth Ltd Hospital,Suryapet
H0172,Nayak-Lalla Hospital,Aligarh
H0173,"Sarraf, Jaggi and Soni Hospital",Ichalkaranji
H0174,Palla PLC Hospital,Meerut
H0175,Gade Group Hospital,Tiruchirappalli
H0176,Gole-Madan Hospital,Jalandhar
H0177,Prasad-Mallick Hospital,Mango
H0178,Narula-Kara Hospital,Tinsukia
H0179,"Wason, Bhatia and Sanghvi Hospital",Dhanbad
H0180,Chad LLC Hospital,Nagaon
H0181,Guha-Dhingra Hospital,Tadipatri
H0182,Bedi-Bahl Hospital,Shahjahanpur
H0183,"Char, Roy and Kakar Hospital",Phagwara
H0184,"Mani, Dani and Mane Hospital",Panihati
H0185,De-Oak Hospital,Pudukkottai
H0186,Majumdar-Chaudhary Hospital,Surendranagar Dudhrej
H0187,Peri PLC Hospital,Baranagar
H0188,"Sangha, Vyas and Gara Hospital",Khammam
H0189,"Pingle, Narasimhan and Suri Hospital",Madhyamgram
H0190,"Gala, Kalita and Dora Hospital",Jehanabad
H0191,Sangha Ltd Hospital,Aurangabad
H0192,Dhaliwal-Chakrabarti Hospital,Ujjain
H0193,"Warrior, Chopra and Chauhan Hospital",Jamnagar
H0194,Deshmukh Ltd Hospital,Kurnool
H0195,Mane Inc Hospital,Kota
H0196,Parmar Inc Hospital,Ramagundam
H0197,Bobal PLC Hospital,Amritsar
H0198,Contractor Inc Hospital,Latur
H0199,Sehgal-Jain Hospital,Jodhpur
